p5,1377643361740,clear,undefined,undefined
p5,1377643435887,pan,geo-0-1,-2,1
p5,1377643435922,pan,geo-0-1,-2,0
p5,1377643435937,pan,geo-0-1,-2,1
p5,1377643435954,pan,geo-0-1,-1,0
p5,1377643435981,pan,geo-0-1,-2,0
p5,1377643436568,pan,geo-0-1,0,0
p5,1377643437328,pan,geo-0-1,0,-1
p5,1377643437359,pan,geo-0-1,0,-5
p5,1377643437377,pan,geo-0-1,0,-4
p5,1377643437410,pan,geo-0-1,-3,-8
p5,1377643437441,pan,geo-0-1,-3,-3
p5,1377643437458,pan,geo-0-1,-2,-1
p5,1377643437763,pan,geo-0-1,-3,0
p5,1377643437805,pan,geo-0-1,-4,0
p5,1377643437829,pan,geo-0-1,-7,0
p5,1377643437862,pan,geo-0-1,-7,-1
p5,1377643437892,pan,geo-0-1,-3,-2
p5,1377643437965,pan,geo-0-1,0,0
p5,1377643441980,pan,geo-0-1,2,0
p5,1377643442010,pan,geo-0-1,3,-2
p5,1377643442028,pan,geo-0-1,4,-1
p5,1377643442060,pan,geo-0-1,10,-3
p5,1377643442085,pan,geo-0-1,6,-1
p5,1377643442104,pan,geo-0-1,8,-1
p5,1377643442121,pan,geo-0-1,3,-1
p5,1377643442171,pan,geo-0-1,5,-1
p5,1377643442187,pan,geo-0-1,1,0
p5,1377643442234,pan,geo-0-1,0,2
p5,1377643442408,pan,geo-0-1,1,0
p5,1377643442422,pan,geo-0-1,6,0
p5,1377643442438,pan,geo-0-1,2,0
p5,1377643442455,pan,geo-0-1,3,2
p5,1377643442473,pan,geo-0-1,3,0
p5,1377643442492,pan,geo-0-1,2,1
p5,1377643442506,pan,geo-0-1,3,2
p5,1377643442520,pan,geo-0-1,2,1
p5,1377643442549,pan,geo-0-1,4,2
p5,1377643442569,pan,geo-0-1,2,0
p5,1377643442588,pan,geo-0-1,2,1
p5,1377643442604,pan,geo-0-1,1,0
p5,1377643442621,pan,geo-0-1,2,0
p5,1377643442637,pan,geo-0-1,1,0
p5,1377643442670,pan,geo-0-1,0,0
p5,1377643442697,pan,geo-0-1,1,0
p5,1377643442733,pan,geo-0-1,0,0
p5,1377643442761,pan,geo-0-1,1,0
p5,1377643442791,pan,geo-0-1,0,0
p5,1377643442809,pan,geo-0-1,1,0
p5,1377643442841,pan,geo-0-1,1,-1
p5,1377643442858,pan,geo-0-1,0,0
p5,1377643442874,pan,geo-0-1,1,0
p5,1377643442893,pan,geo-0-1,0,-1
p5,1377643442924,pan,geo-0-1,1,0
p5,1377643443001,pan,geo-0-1,0,0
p5,1377643443028,pan,geo-0-1,0,1
p5,1377643443059,pan,geo-0-1,-2,3
p5,1377643443076,pan,geo-0-1,-3,2
p5,1377643443331,pan,geo-0-1,2,0
p5,1377643443360,pan,geo-0-1,1,0
p5,1377643443377,pan,geo-0-1,2,0
p5,1377643443392,pan,geo-0-1,1,-1
p5,1377643443411,pan,geo-0-1,1,0
p5,1377643443451,pan,geo-0-1,4,-1
p5,1377643443478,pan,geo-0-1,7,-1
p5,1377643443510,pan,geo-0-1,2,0
p5,1377643443526,pan,geo-0-1,0,0
p5,1377643443543,pan,geo-0-1,1,0
p5,1377643444307,pan,geo-0-1,0,0
p5,1377643444356,pan,geo-0-1,0,-1
p5,1377643444391,pan,geo-0-1,0,0
p5,1377643451597,range select,bar-5,5-1-1-1_
p5,1377643453542,range select,bar-5,5-0-0-1_
p5,1377643455491,range select,bar-5,5-1-1-1_
p5,1377643460716,range select,bar-5,5-0-0-1_
p5,1377643468908,range select,bar-5,5-1-1-1_
p5,1377643472999,range select,bar-5,5-2-2-1_
p5,1377643474549,pan,geo-0-1,0,0
p5,1377643474680,pan,geo-0-1,3,4
p5,1377643474697,pan,geo-0-1,2,3
p5,1377643474710,pan,geo-0-1,5,8
p5,1377643474737,pan,geo-0-1,4,5
p5,1377643474759,pan,geo-0-1,5,2
p5,1377643474787,pan,geo-0-1,15,8
p5,1377643474830,pan,geo-0-1,16,3
p5,1377643474843,pan,geo-0-1,3,0
p5,1377643474909,pan,geo-0-1,9,2
p5,1377643474933,pan,geo-0-1,4,0
p5,1377643474962,pan,geo-0-1,3,-1
p5,1377643474984,pan,geo-0-1,1,-1
p5,1377643475230,pan,geo-0-1,1,0
p5,1377643475243,pan,geo-0-1,2,0
p5,1377643475319,pan,geo-0-1,3,0
p5,1377643475346,pan,geo-0-1,4,0
p5,1377643475364,pan,geo-0-1,2,0
p5,1377643475380,pan,geo-0-1,1,-1
p5,1377643475398,pan,geo-0-1,3,-1
p5,1377643475415,pan,geo-0-1,1,-1
p5,1377643475430,pan,geo-0-1,1,-2
p5,1377643475450,pan,geo-0-1,1,-1
p5,1377643475487,pan,geo-0-1,1,0
p5,1377643475518,pan,geo-0-1,3,-3
p5,1377643475556,pan,geo-0-1,2,-1
